日期,時間,賽事編號,球隊,得分,總比分,讓分,讓分賠率,不讓分賠率,大小分,大小分賠率,單雙賠率
2022/4/1,AM 07:00,20220401-0,費城76人,94,94 : 102,-10.5,客1.7,,225.5,大1.75,單1.75
2022/4/1,AM 07:00,20220401-0,底特律活塞,102,94 : 102,10.5,主1.8,,225.5,小1.75,雙1.75
2022/4/1,AM 07:30,20220401-1,克里夫蘭騎士,107,107 : 131,7.5,客1.7,2.85,230.5,大1.7,單1.75
2022/4/1,AM 07:30,20220401-1,亞特蘭大老鷹,131,107 : 131,-7.5,主1.8,1.25,230.5,小1.8,雙1.75
2022/4/1,AM 07:30,20220401-2,密爾瓦基公鹿,120,120 : 119,2.5,客1.8,2.05,242.5,大1.8,單1.75
2022/4/1,AM 07:30,20220401-2,布魯克林籃網,119,120 : 119,-2.5,主1.7,1.5,242.5,小1.7,雙1.75
2022/4/1,AM 08:00,20220401-3,洛杉磯快艇,130,130 : 135,3.5,客1.8,2.05,221.5,大1.75,單1.75
2022/4/1,AM 08:00,20220401-3,芝加哥公牛,135,130 : 135,-3.5,主1.7,1.5,221.5,小1.75,雙1.75
2022/4/1,AM 10:00,20220401-4,洛杉磯湖人,109,109 : 122,13.5,客1.75,,228.5,大1.8,單1.75
2022/4/1,AM 10:00,20220401-4,猶他爵士,122,109 : 122,-13.5,主1.75,,228.5,小1.7,雙1.75
2022/4/2,AM 07:00,20220402-0,多倫多暴龍,102,102 : 89,-11.5,客1.75,,217.5,大1.75,單1.75
2022/4/2,AM 07:00,20220402-0,奧蘭多魔術,89,102 : 89,11.5,主1.75,,217.5,小1.75,雙1.75
2022/4/2,AM 07:00,20220402-1,達拉斯獨行俠,103,103 : 135,-8.5,客1.7,1.12,218.5,大1.75,單1.75
2022/4/2,AM 07:00,20220402-1,華盛頓巫師,135,103 : 135,8.5,主1.8,3.75,218.5,小1.75,雙1.75
2022/4/2,AM 07:30,20220402-2,印第安那溜馬,123,123 : 128,15.5,客1.75,,227.5,大1.75,單1.75
2022/4/2,AM 07:30,20220402-2,波士頓塞爾提克,128,123 : 128,-15.5,主1.75,,227.5,小1.75,雙1.75
2022/4/2,AM 08:00,20220402-3,沙加緬度國王,122,122 : 117,-3.5,客1.75,1.5,235.5,大1.75,單1.75
2022/4/2,AM 08:00,20220402-3,休士頓火箭,117,122 : 117,3.5,主1.75,2.05,235.5,小1.75,雙1.75
2022/4/2,AM 08:00,20220402-4,鳳凰城太陽,114,114 : 122,-6.5,客1.75,1.22,229.5,大1.7,單1.75
2022/4/2,AM 08:00,20220402-4,曼斐斯灰熊,122,114 : 122,6.5,主1.75,3,229.5,小1.8,雙1.75
2022/4/2,AM 08:00,20220402-5,洛杉磯快艇,153,153 : 119,3.5,客1.7,2.05,218.5,大1.75,單1.75
2022/4/2,AM 08:00,20220402-5,密爾瓦基公鹿,119,153 : 119,-3.5,主1.8,1.5,218.5,小1.75,雙1.75
2022/4/2,AM 08:00,20220402-6,底特律活塞,110,110 : 101,-4.5,客1.75,1.4,222.5,大1.75,單1.75
2022/4/2,AM 08:00,20220402-6,奧克拉荷馬雷霆,101,110 : 101,4.5,主1.75,2.3,222.5,小1.75,雙1.75
2022/4/2,AM 08:30,20220402-7,波特蘭拓荒者,111,111 : 130,15.5,客1.75,,230.5,大1.75,單1.75
2022/4/2,AM 08:30,20220402-7,聖安東尼奧馬刺,130,111 : 130,-15.5,主1.75,,230.5,小1.75,雙1.75
2022/4/2,AM 09:00,20220402-8,明尼蘇達灰狼,136,136 : 130,3.5,客1.8,2.15,242.5,大1.75,單1.75
2022/4/2,AM 09:00,20220402-8,丹佛金塊,130,136 : 130,-3.5,主1.7,1.45,242.5,小1.75,雙1.75
2022/4/2,AM 10:30,20220402-9,紐奧良鵜鶘,114,114 : 111,2.5,客1.75,1.95,230.5,大1.75,單1.75
2022/4/2,AM 10:30,20220402-9,洛杉磯湖人,111,114 : 111,-2.5,主1.75,1.55,230.5,小1.75,雙1.75
2022/4/3,AM 12:30,20220403-0,夏洛特黃蜂,114,114 : 144,5.5,客1.75,2.6,228.5,大1.7,單1.75
2022/4/3,AM 12:30,20220403-0,費城76人,144,114 : 144,-5.5,主1.75,1.3,228.5,小1.8,雙1.75
2022/4/3,AM 01:00,20220403-1,克里夫蘭騎士,119,119 : 101,1.5,客1.75,1.9,218.5,大1.7,單1.75
2022/4/3,AM 01:00,20220403-1,紐約尼克,101,119 : 101,-1.5,主1.75,1.6,218.5,小1.8,雙1.75
2022/4/3,AM 07:30,20220403-2,布魯克林籃網,115,115 : 122,-2.5,客1.7,1.55,243.5,大1.75,單1.75
2022/4/3,AM 07:30,20220403-2,亞特蘭大老鷹,122,115 : 122,2.5,主1.8,1.95,243.5,小1.75,雙1.75
2022/4/3,AM 08:00,20220403-3,邁阿密熱火,127,127 : 109,-3.5,客1.7,1.5,216.5,大1.8,單1.75
2022/4/3,AM 08:00,20220403-3,芝加哥公牛,109,127 : 109,3.5,主1.8,2.05,216.5,小1.7,雙1.75
2022/4/3,AM 08:30,20220403-4,猶他爵士,107,107 : 111,-2.5,客1.7,1.6,218.5,大1.75,單1.75
2022/4/3,AM 08:30,20220403-4,金州勇士,111,107 : 111,2.5,主1.8,1.9,218.5,小1.75,雙1.75
2022/4/4,AM 01:00,20220404-0,華盛頓巫師,102,102 : 144,12.5,客1.75,,223.5,大1.7,單1.75
2022/4/4,AM 01:00,20220404-0,波士頓塞爾提克,144,102 : 144,-12.5,主1.75,,223.5,小1.8,雙1.75
2022/4/4,AM 01:00,20220404-1,達拉斯獨行俠,118,118 : 112,6.5,客1.7,2.6,227.5,大1.75,單1.75
2022/4/4,AM 01:00,20220404-1,密爾瓦基公鹿,112,118 : 112,-6.5,主1.8,1.3,227.5,小1.75,雙1.75
2022/4/4,AM 03:30,20220404-2,丹佛金塊,129,129 : 118,-3.5,客1.75,1.55,231.5,大1.75,單1.75
2022/4/4,AM 03:30,20220404-2,洛杉磯湖人,118,129 : 118,3.5,主1.75,1.95,231.5,小1.75,雙1.75
2022/4/4,AM 05:00,20220404-3,底特律活塞,121,121 : 117,3.5,客1.75,2.05,232.5,大1.75,單1.75
2022/4/4,AM 05:00,20220404-3,印第安那溜馬,117,121 : 117,-3.5,主1.75,1.5,232.5,小1.75,雙1.75
2022/4/4,AM 06:00,20220404-4,費城76人,112,112 : 108,-3.5,客1.7,1.45,225.5,大1.75,單1.75
2022/4/4,AM 06:00,20220404-4,克里夫蘭騎士,108,112 : 108,3.5,主1.8,2.15,225.5,小1.75,雙1.75
2022/4/4,AM 06:00,20220404-5,紐約尼克,118,118 : 88,-5.5,客1.7,1.4,215.5,大1.75,單1.75
2022/4/4,AM 06:00,20220404-5,奧蘭多魔術,88,118 : 88,5.5,主1.8,2.3,215.5,小1.75,雙1.75
2022/4/4,AM 07:00,20220404-6,邁阿密熱火,114,114 : 109,5.5,客1.75,2.3,214.5,大1.75,單1.75
2022/4/4,AM 07:00,20220404-6,多倫多暴龍,109,114 : 109,-5.5,主1.75,1.4,214.5,小1.75,雙1.75
2022/4/4,AM 07:00,20220404-7,明尼蘇達灰狼,139,139 : 132,-13.5,客1.7,,244.5,大1.7,單1.75
2022/4/4,AM 07:00,20220404-7,休士頓火箭,132,139 : 132,13.5,主1.8,,244.5,小1.8,雙1.75
2022/4/4,AM 07:00,20220404-8,鳳凰城太陽,96,96 : 117,-14.5,客1.75,,222.5,大1.75,單1.75
2022/4/4,AM 07:00,20220404-8,奧克拉荷馬雷霆,117,96 : 117,14.5,主1.75,,222.5,小1.75,雙1.75
2022/4/4,AM 07:00,20220404-9,波特蘭拓荒者,92,92 : 113,14.5,客1.75,,231.5,大1.75,單1.75
2022/4/4,AM 07:00,20220404-9,聖安東尼奧馬刺,113,92 : 113,-14.5,主1.75,,231.5,小1.75,雙1.75
2022/4/4,AM 09:00,20220404-10,金州勇士,109,109 : 90,-4.5,客1.75,1.35,221.5,大1.75,單1.75
2022/4/4,AM 09:00,20220404-10,沙加緬度國王,90,109 : 90,4.5,主1.75,2.45,221.5,小1.75,雙1.75
2022/4/4,AM 09:30,20220404-11,紐奧良鵜鶘,100,100 : 119,2.5,客1.75,1.9,223.5,大1.75,單1.75
2022/4/4,AM 09:30,20220404-11,洛杉磯快艇,119,100 : 119,-2.5,主1.75,1.6,223.5,小1.75,雙1.75
2022/4/6,AM 07:00,20220406-0,費城76人,131,131 : 122,-11.5,客1.7,,235.5,大1.7,單1.75
2022/4/6,AM 07:00,20220406-0,印第安那溜馬,122,131 : 122,11.5,主1.8,,235.5,小1.8,雙1.75
2022/4/6,AM 07:00,20220406-1,克里夫蘭騎士,115,115 : 120,-8.5,客1.7,1.15,222.5,大1.75,單1.75
2022/4/6,AM 07:00,20220406-1,奧蘭多魔術,120,115 : 120,8.5,主1.8,3.5,222.5,小1.75,雙1.75
2022/4/6,AM 07:30,20220406-2,休士頓火箭,105,105 : 118,16.5,客1.7,,243.5,大1.75,單1.75
2022/4/6,AM 07:30,20220406-2,布魯克林籃網,118,105 : 118,-16.5,主1.8,,243.5,小1.75,雙1.75
2022/4/6,AM 07:30,20220406-3,夏洛特黃蜂,115,115 : 144,5.5,客1.75,2.45,227.5,大1.7,單1.75
2022/4/6,AM 07:30,20220406-3,邁阿密熱火,144,115 : 144,-5.5,主1.75,1.35,227.5,小1.8,雙1.75
2022/4/6,AM 07:30,20220406-4,亞特蘭大老鷹,108,108 : 118,4.5,客1.75,2.15,227.5,大1.75,單1.75
2022/4/6,AM 07:30,20220406-4,多倫多暴龍,118,108 : 118,-4.5,主1.75,1.45,227.5,小1.75,雙1.75
2022/4/6,AM 08:00,20220406-5,密爾瓦基公鹿,127,127 : 106,-6.5,客1.8,1.35,230.5,大1.7,單1.75
2022/4/6,AM 08:00,20220406-5,芝加哥公牛,106,127 : 106,6.5,主1.7,2.45,230.5,小1.8,雙1.75
2022/4/6,AM 08:00,20220406-6,華盛頓巫師,132,132 : 114,12.5,客1.75,,237.5,大1.75,單1.75
2022/4/6,AM 08:00,20220406-6,明尼蘇達灰狼,114,132 : 114,-12.5,主1.75,,237.5,小1.75,雙1.75
2022/4/6,AM 08:00,20220406-7,波特蘭拓荒者,94,94 : 98,4.5,客1.8,2.3,220.5,大1.75,單1.75
2022/4/6,AM 08:00,20220406-7,奧克拉荷馬雷霆,98,94 : 98,-4.5,主1.7,1.4,220.5,小1.75,雙1.75
2022/4/6,AM 09:00,20220406-8,聖安東尼奧馬刺,116,116 : 97,9.5,客1.7,3.5,234.5,大1.75,單1.75
2022/4/6,AM 09:00,20220406-8,丹佛金塊,97,116 : 97,-9.5,主1.8,1.15,234.5,小1.75,雙1.75
2022/4/6,AM 09:00,20220406-9,曼斐斯灰熊,115,115 : 121,5.5,客1.75,2.45,226.5,大1.7,單1.75
2022/4/6,AM 09:00,20220406-9,猶他爵士,121,115 : 121,-5.5,主1.75,1.35,226.5,小1.8,雙1.75
2022/4/6,AM 10:00,20220406-10,紐奧良鵜鶘,123,123 : 109,-8.5,客1.75,1.18,225.5,大1.75,單1.75
2022/4/6,AM 10:00,20220406-10,沙加緬度國王,109,123 : 109,8.5,主1.75,3.3,225.5,小1.75,雙1.75
2022/4/6,AM 10:30,20220406-11,洛杉磯湖人,110,110 : 121,12.5,客1.75,,234.5,大1.7,單1.75
2022/4/6,AM 10:30,20220406-11,鳳凰城太陽,121,110 : 121,-12.5,主1.75,,234.5,小1.8,雙1.75
2022/4/7,AM 07:00,20220407-0,達拉斯獨行俠,131,131 : 113,-7.5,客1.8,1.2,219.5,大1.7,單1.75
2022/4/7,AM 07:00,20220407-0,底特律活塞,113,131 : 113,7.5,主1.7,3.1,219.5,小1.8,雙1.75
2022/4/7,AM 07:30,20220407-1,布魯克林籃網,110,110 : 98,-6.5,客1.75,1.28,229.5,大1.75,單1.75
2022/4/7,AM 07:30,20220407-1,紐約尼克,98,110 : 98,6.5,主1.75,2.7,229.5,小1.75,雙1.75
2022/4/7,AM 08:00,20220407-2,華盛頓巫師,103,103 : 118,10.5,客1.75,,235.5,大1.7,單1.75
2022/4/7,AM 08:00,20220407-2,亞特蘭大老鷹,118,103 : 118,-10.5,主1.75,,235.5,小1.8,雙1.75
2022/4/7,AM 08:00,20220407-3,波士頓塞爾提克,117,117 : 94,-7.5,客1.8,1.28,225.5,大1.7,單1.75
2022/4/7,AM 08:00,20220407-3,芝加哥公牛,94,117 : 94,7.5,主1.7,2.7,225.5,小1.8,雙1.75
2022/4/7,AM 09:00,20220407-4,奧克拉荷馬雷霆,101,101 : 137,14.5,客1.7,,216.5,大1.75,單1.75
2022/4/7,AM 09:00,20220407-4,猶他爵士,137,101 : 137,-14.5,主1.8,,216.5,小1.75,雙1.75
2022/4/7,AM 10:00,20220407-5,鳳凰城太陽,109,109 : 113,6.5,客1.8,2.85,224.5,大1.75,單1.75
2022/4/7,AM 10:00,20220407-5,洛杉磯快艇,113,109 : 113,-6.5,主1.7,1.25,224.5,小1.75,雙1.75
2022/4/8,AM 07:00,20220408-0,奧蘭多魔術,101,101 : 128,14.5,客1.8,,230.5,大1.7,單1.75
2022/4/8,AM 07:00,20220408-0,夏洛特黃蜂,128,101 : 128,-14.5,主1.7,,230.5,小1.8,雙1.75
2022/4/8,AM 07:30,20220408-1,費城76人,114,114 : 119,-3.5,客1.7,1.4,220.5,大1.7,單1.75
2022/4/8,AM 07:30,20220408-1,多倫多暴龍,119,114 : 119,3.5,主1.8,2.3,220.5,小1.8,雙1.75
2022/4/8,AM 07:30,20220408-2,波士頓塞爾提克,121,121 : 127,8.5,客1.7,3,227.5,大1.7,單1.75
2022/4/8,AM 07:30,20220408-2,密爾瓦基公鹿,127,121 : 127,-8.5,主1.8,1.22,227.5,小1.8,雙1.75
2022/4/8,AM 08:00,20220408-3,聖安東尼奧馬刺,121,121 : 127,7.5,客1.7,2.7,240.5,大1.7,單1.75
2022/4/8,AM 08:00,20220408-3,明尼蘇達灰狼,127,121 : 127,-7.5,主1.8,1.28,240.5,小1.8,雙1.75
2022/4/8,AM 08:00,20220408-4,波特蘭拓荒者,94,94 : 127,16.5,客1.75,,224.5,大1.7,單1.75
2022/4/8,AM 08:00,20220408-4,紐奧良鵜鶘,127,94 : 127,-16.5,主1.75,,224.5,小1.8,雙1.75
2022/4/8,AM 09:00,20220408-5,曼斐斯灰熊,109,109 : 122,4.5,客1.75,2.15,234.5,大1.7,單1.75
2022/4/8,AM 09:00,20220408-5,丹佛金塊,122,109 : 122,-4.5,主1.75,1.45,234.5,小1.8,雙1.75
2022/4/8,AM 10:00,20220408-6,洛杉磯湖人,112,112 : 128,13.5,客1.75,,220.5,大1.7,單1.75
2022/4/8,AM 10:00,20220408-6,金州勇士,128,112 : 128,-13.5,主1.75,,220.5,小1.8,雙1.75
2022/4/9,AM 07:00,20220409-0,密爾瓦基公鹿,131,131 : 101,-11.5,客1.75,1.28,232.5,大1.75,單1.75
2022/4/9,AM 07:00,20220409-0,底特律活塞,101,131 : 101,11.5,主1.75,2.7,232.5,小1.75,雙1.75
2022/4/9,AM 07:00,20220409-1,紐約尼克,114,114 : 92,-2.5,客1.75,1.5,225.5,大1.75,單1.75
2022/4/9,AM 07:00,20220409-1,華盛頓巫師,92,114 : 92,2.5,主1.75,2.05,225.5,小1.75,雙1.75
2022/4/9,AM 07:30,20220409-2,克里夫蘭騎士,107,107 : 118,9.5,客1.75,3.5,232.5,大1.7,單1.75
2022/4/9,AM 07:30,20220409-2,布魯克林籃網,118,107 : 118,-9.5,主1.75,1.15,232.5,小1.8,雙1.75
2022/4/9,AM 07:30,20220409-3,休士頓火箭,115,115 : 117,12.5,客1.8,,228.5,大1.75,單1.75
2022/4/9,AM 07:30,20220409-3,多倫多暴龍,117,115 : 117,-12.5,主1.7,,228.5,小1.75,雙1.75
2022/4/9,AM 08:00,20220409-4,亞特蘭大老鷹,109,109 : 113,1.5,客1.8,1.9,231.5,大1.7,單1.75
2022/4/9,AM 08:00,20220409-4,邁阿密熱火,113,109 : 113,-1.5,主1.7,1.6,231.5,小1.8,雙1.75
2022/4/9,AM 08:00,20220409-5,夏洛特黃蜂,133,133 : 117,3.5,客1.8,2.05,236.5,大1.7,單1.75
2022/4/9,AM 08:00,20220409-5,芝加哥公牛,117,133 : 117,-3.5,主1.7,1.5,236.5,小1.8,雙1.75
2022/4/9,AM 08:30,20220409-6,波特蘭拓荒者,78,78 : 128,19.5,客1.75,,221.5,大1.7,單1.75
2022/4/9,AM 08:30,20220409-6,達拉斯獨行俠,128,78 : 128,-19.5,主1.75,,221.5,小1.8,雙1.75
2022/4/9,AM 09:30,20220409-7,鳳凰城太陽,111,111 : 105,3.5,客1.75,2.05,228.5,大1.75,單1.75
2022/4/9,AM 09:30,20220409-7,猶他爵士,105,111 : 105,-3.5,主1.75,1.5,228.5,小1.75,雙1.75
2022/4/9,AM 10:30,20220409-8,奧克拉荷馬雷霆,101,101 : 120,4.5,客1.75,2.3,225.5,大1.75,單1.75
2022/4/9,AM 10:30,20220409-8,洛杉磯湖人,120,101 : 120,-4.5,主1.75,1.4,225.5,小1.75,雙1.75
2022/4/10,AM 01:00,20220410-0,印第安那溜馬,120,120 : 133,14.5,客1.8,,235.5,大1.75,單1.75
2022/4/10,AM 01:00,20220410-0,費城76人,133,120 : 133,-14.5,主1.7,,235.5,小1.75,雙1.75
